Country,CO,CH4,NH3,NMVOC,NOx,SO2,PM 10,PM 2.5,Total Cancer,Air Cancer,Chronic Respiratory Diseases,Pneumoconiosis,Asthma,Interstitial Lung Disease and Pulmonary Sarcoidosis,Other Chronic Respiratory Diseases,Total Deaths,Total Population,PCA first component,PCA second component
Lesotho,226.919500859,63.804996204805,11.248856492595,54.044215961884,9.4737018263,4.3616079525,28.3132437909438,14.3219225307713,2171,231,744,10,390,20,18,30119.0,2059021.0,-0.9154901259248905,-0.03125544948419312
Liberia,653.8880300234,90.78614603146,23.344854934214,141.79861405694,15.8413398832,8.2057012234,100.395780069027,44.5153074531757,1848,161,279,0,199,6,32,34419.0,4472230.0,-0.8694033743172616,-0.03861160906765163
Libya,1889.605166262,593.56864358784,18.923403042592,477.69339375726,294.35890543534,185.38683336881,20.895966791922,13.9616494326197,4589,795,621,1,295,40,10,32246.0,6418315.0,-0.7580138319351066,-0.10007426031366848
Lithuania,202.044261963838,173.01763578054,60.7198622922356,88.8222037210128,44.972372820881,13.2882638547166,29.015295670706,18.8442049511081,8351,1449,750,0,42,18,5,41023.0,2904910.0,-0.8799882574066347,-0.0661584100752333
Luxembourg,20.956037166212,22.8797244430459,5.48574410411273,8.37023580841531,25.5648705124139,1.62839616282144,2.87320986352954,2.10100596756563,1197,274,181,1,9,12,0,4205.0,569604.0,-0.958150364759413,-0.05248076692885736
Madagascar,1085.806500497,755.08122497538,106.65753130644,307.917123976428,45.72159936607,29.4505837638,136.424687696854,62.5304832731352,9491,578,2951,37,2281,112,165,181094.0,24234088.0,-0.6081518978925312,0.1054486136919343
Malawi,499.8610566918,267.89671594656,56.82781637399,150.464545935712,22.35736732645,10.4205836369,63.3184880707983,30.2672629238743,8989,377,1317,16,794,52,53,133040.0,16745303.0,-0.7855056300546379,0.008642015176057383
Malaysia,3564.4897989,2236.604889927,181.57051930706,1086.27045637475,698.82938620991,532.1033973405,159.415074288467,86.1173440729657,25525,4485,4670,1,781,217,128,155314.0,30270962.0,-0.2484214900909999,-0.12855961853521708
Maldives,55.8731115949,2.84739328167,0.06351411990196,7.77011979008843,9.576112874872,5.206656162641,0.853758868644601,0.671028153954755,171,21,77,0,9,15,1,1056.0,454915.0,-0.965677377445198,-0.04820782753603578
Mali,522.6600579328,858.62875998036,106.14194104704,137.32359343788,25.3144631836,5.6115945339,80.0429439746112,41.3351501427453,8023,528,2203,7,1642,58,186,181645.0,17438778.0,-0.6825346318430967,0.1013504037251123
